Date,Campaign name,Ad set name,Ad name,Amount spent (USD),Impressions,Link clicks,Content views,Adds to cart,Checkouts initiated,Purchases,Purchase conversion value
2026-07-24,Grand Teton National Park Illustrated Map T-shirt | Prospecting,Prospecting,Map creative A,90,5000,75,65,7,3,3,180
2026-07-25,Mahi Strike Offshore T-shirt | Prospecting,Prospecting,Offshore creative A,75,4200,65,56,8,4,3,180
2026-07-26,Wild Turkey Run T-shirt | Retargeting,Retargeting,Turkey creative A,80,9800,42,36,3,1,1,72
2026-07-27,Grand Teton National Park Illustrated Map T-shirt | Prospecting,Prospecting,Map creative A,92,5100,76,66,7,3,3,184
2026-07-28,Mahi Strike Offshore T-shirt | Prospecting,Prospecting,Offshore creative A,76,4250,66,57,8,4,3,182
2026-07-29,Wild Turkey Run T-shirt | Retargeting,Retargeting,Turkey creative A,82,9900,42,36,3,1,1,73
2026-07-30,Grand Teton National Park Illustrated Map T-shirt | Prospecting,Prospecting,Map creative B,94,5200,77,67,8,3,3,188
2026-07-31,Mahi Strike Offshore T-shirt | Prospecting,Prospecting,Offshore creative B,78,4300,67,58,9,4,3,187
2026-08-01,Wild Turkey Run T-shirt | Retargeting,Retargeting,Turkey creative B,84,10000,43,37,3,1,1,74
2026-08-02,Grand Teton National Park Illustrated Map T-shirt | Prospecting,Prospecting,Map creative B,96,5300,78,68,8,3,3,192
2026-08-03,Mahi Strike Offshore T-shirt | Prospecting,Prospecting,Offshore creative B,79,4350,68,59,9,4,3,190
2026-08-04,Wild Turkey Run T-shirt | Retargeting,Retargeting,Turkey creative B,85,10100,43,37,3,1,1,75
2026-08-05,Grand Teton National Park Illustrated Map T-shirt | Prospecting,Prospecting,Map creative C,98,5400,79,69,8,3,3,196
2026-08-06,Mahi Strike Offshore T-shirt | Prospecting,Prospecting,Offshore creative C,80,4400,69,60,9,4,3,192
2026-08-07,Wild Turkey Run T-shirt | Retargeting,Retargeting,Turkey creative C,88,10200,41,36,3,1,1,70
2026-08-08,Grand Teton National Park Illustrated Map T-shirt | Prospecting,Prospecting,Map creative C,101,5500,84,73,9,4,4,250
2026-08-09,Mahi Strike Offshore T-shirt | Prospecting,Prospecting,Offshore creative C,82,4500,78,66,11,5,4,232
2026-08-10,Wild Turkey Run T-shirt | Retargeting,Retargeting,Turkey creative D,90,10400,42,37,3,1,1,71
2026-08-11,Grand Teton National Park Illustrated Map T-shirt | Prospecting,Prospecting,Map creative D,103,5600,86,75,9,4,4,258
2026-08-12,Mahi Strike Offshore T-shirt | Prospecting,Prospecting,Offshore creative D,83,4550,79,67,11,5,4,236
2026-08-13,Wild Turkey Run T-shirt | Retargeting,Retargeting,Turkey creative D,92,10600,43,38,3,1,1,72
2026-08-14,Grand Teton National Park Illustrated Map T-shirt | Prospecting,Prospecting,Map creative E,105,5700,88,77,10,4,4,267
2026-08-15,Mahi Strike Offshore T-shirt | Prospecting,Prospecting,Offshore creative E,84,4600,80,68,12,5,4,241
2026-08-16,Wild Turkey Run T-shirt | Retargeting,Retargeting,Turkey creative E,94,10800,44,39,3,1,1,73
2026-08-17,Grand Teton National Park Illustrated Map T-shirt | Prospecting,Prospecting,Map creative F,107,5800,90,79,10,4,4,276
2026-08-18,Mahi Strike Offshore T-shirt | Prospecting,Prospecting,Offshore creative F,86,4700,82,70,12,5,4,248
2026-08-19,Wild Turkey Run T-shirt | Retargeting,Retargeting,Turkey creative F,96,11000,45,40,3,1,1,74
2026-08-20,Grand Teton National Park Illustrated Map T-shirt | Prospecting,Prospecting,Map creative G,109,5900,92,81,10,4,4,285
